1, 232.219, 227.461
1, 232.571, 229.564
1, 231.691, 222.35
1, 232.405, 224.42
1, 232.649, 231.718
1, 232.681, 231.781
1, 232.658, 232.052
1, 232.603, 232.032
1, 232.857, 231.928
1, 232.691, 231.819
1, 232.823, 231.942
1, 232.799, 232.042
1, 232.747, 231.863
1, 232.807, 232.082
1, 232.742, 231.982
1, 232.714, 232.088
2, 80.2317, 75.609
2, 65.5848, 56.1294
2, 128.778, 118.288
2, 465.352, 459.105
2, 465.427, 461.121
2, 465.062, 458.447
2, 465.436, 459.82
2, 465.717, 460.566
2, 465.693, 462.048
2, 465.409, 460.824
2, 465.395, 460.709
2, 465.419, 460.799
2, 465.574, 461.855
2, 465.441, 460.397
2, 465.728, 461.316
2, 465.13, 461.414
4, 40.2769, 38.2767
4, 52.9552, 51.7766
4, 90.0684, 88.2051
4, 158.817, 154.439
4, 166.243, 156.728
4, 274.394, 256.225
4, 284.814, 252.755
4, 861.234, 854.318
4, 857.275, 849.105
4, 860.761, 849.156
4, 864.612, 853.144
4, 862.952, 855.135
4, 859.143, 847.823
4, 864.584, 854.862
4, 858.59, 852.392
4, 865.033, 857.954
8, 52.5691, 51.9144
8, 52.4126, 52.0903
8, 67.1404, 65.387
8, 109.58, 105.798
8, 117.033, 112.04
8, 174.513, 163.782
8, 178.161, 170.532
8, 326.878, 300.112
8, 342.834, 316.985
8, 363.204, 328.116
8, 417.842, 395.319
8, 369.423, 334.522
8, 446.735, 420.651
8, 352.899, 316.841
8, 432.563, 376.855
8, 1652.18, 1523.57
